Year,Region,Party,Alignment,Votes %,Votes N
1998,Gelderland,CU,Centre,NA,NA
1998,Gelderland,GL,Left-Wing,6.7,72885
1998,Gelderland,SGP,Right-Wing,3.34,36330
1998,Gelderland,PvdD,Left-Wing,NA,NA
1998,Gelderland,50PLUS,Centre,NA,NA
2002,Gelderland,VVD,Centre-Right,14.79,175614
2002,Gelderland,PvdA,Centre-Left,15.16,180094
2002,Gelderland,PVV,Right-Wing,NA,NA
2002,Gelderland,SP,Left-Wing,5.44,64610
2002,Gelderland,CDA,Centre,30.66,364064
2002,Gelderland,D66,Centre,4.75,56447
2002,Gelderland,CU,Centre,3.08,36518
2002,Gelderland,GL,Left-Wing,7.08,84053
2002,Gelderland,SGP,Right-Wing,3.27,38875
2002,Gelderland,PvdD,Left-Wing,NA,NA
2002,Gelderland,50PLUS,Centre,NA,NA
2003,Gelderland,VVD,Centre-Right,16.47,199875
2003,Gelderland,PvdA,Centre-Left,26.62,323097
2003,Gelderland,PVV,Right-Wing,NA,NA
2003,Gelderland,SP,Left-Wing,5.8,70411
2003,Gelderland,CDA,Centre,31.65,384101
2003,Gelderland,D66,Centre,3.61,43858
2003,Gelderland,CU,Centre,2.52,30535
2003,Gelderland,GL,Left-Wing,5.13,62218
2003,Gelderland,SGP,Right-Wing,2.94,35665
2003,Gelderland,PvdD,Left-Wing,0.41,5002
2003,Gelderland,50PLUS,Centre,NA,NA
2006,Gelderland,VVD,Centre-Right,13.48,165163
2006,Gelderland,PvdA,Centre-Left,20.27,248321
2006,Gelderland,PVV,Right-Wing,4.36,53404
2006,Gelderland,SP,Left-Wing,16.12,197418
2006,Gelderland,CDA,Centre,29.31,359004
2006,Gelderland,D66,Centre,1.81,22140
2006,Gelderland,CU,Centre,4.85,59405
2006,Gelderland,GL,Left-Wing,4.35,53333
2006,Gelderland,SGP,Right-Wing,3.01,36895
2006,Gelderland,PvdD,Left-Wing,1.57,19260
2006,Gelderland,50PLUS,Centre,NA,NA
2010,Gelderland,VVD,Centre-Right,19.44,228168
2010,Gelderland,PvdA,Centre-Left,18.73,219906
2010,Gelderland,PVV,Right-Wing,13.53,158832
2010,Gelderland,SP,Left-Wing,9.68,113636
2010,Gelderland,CDA,Centre,15.66,183827
2010,Gelderland,D66,Centre,6.59,77406
2010,Gelderland,CU,Centre,4.23,49661
2010,Gelderland,GL,Left-Wing,6.61,77558
2010,Gelderland,SGP,Right-Wing,3.4,39872
2010,Gelderland,PvdD,Left-Wing,1.14,13416
2010,Gelderland,50PLUS,Centre,NA,NA
2012,Gelderland,VVD,Centre-Right,25.67,303623
2012,Gelderland,PvdA,Centre-Left,24.29,287328
2012,Gelderland,PVV,Right-Wing,8.55,101133
2012,Gelderland,SP,Left-Wing,9.65,114093
2012,Gelderland,CDA,Centre,9.59,113369
2012,Gelderland,D66,Centre,7.64,90379
2012,Gelderland,CU,Centre,4.1,48447
2012,Gelderland,GL,Left-Wing,2.41,28516
2012,Gelderland,SGP,Right-Wing,4,47269
2012,Gelderland,PvdD,Left-Wing,1.7,20087
2012,Gelderland,50PLUS,Centre,1.61,19039
1994,Flevoland,VVD,Centre-Right,23.57,32584
1994,Flevoland,PvdA,Centre-Left,20.15,27849
1994,Flevoland,PVV,Right-Wing,NA,NA
1994,Flevoland,SP,Left-Wing,1.27,1758
1994,Flevoland,CDA,Centre,17.63,24369
1994,Flevoland,D66,Centre,16.99,23486
1994,Flevoland,CU,Centre,NA,NA
1994,Flevoland,GL,Left-Wing,3.13,4325
1994,Flevoland,SGP,Right-Wing,2.4,3312
1994,Flevoland,PvdD,Left-Wing,NA,NA
1994,Flevoland,50PLUS,Centre,NA,NA
1998,Flevoland,VVD,Centre-Right,29.12,43431
1998,Flevoland,PvdA,Centre-Left,25.84,38531
1998,Flevoland,PVV,Right-Wing,NA,NA
1998,Flevoland,SP,Left-Wing,2.65,3959
1998,Flevoland,CDA,Centre,14.83,22117
1998,Flevoland,D66,Centre,9.02,13451
1998,Flevoland,CU,Centre,NA,NA
1998,Flevoland,GL,Left-Wing,6.6,9845
1998,Flevoland,SGP,Right-Wing,2.32,3456
1998,Flevoland,PvdD,Left-Wing,NA,NA
1998,Flevoland,50PLUS,Centre,NA,NA
2002,Flevoland,VVD,Centre-Right,17.23,32283
2002,Flevoland,PvdA,Centre-Left,13.74,25744
2002,Flevoland,PVV,Right-Wing,NA,NA
2002,Flevoland,SP,Left-Wing,4.78,8946
2002,Flevoland,CDA,Centre,23.62,44251
2002,Flevoland,D66,Centre,4.97,9316
2002,Flevoland,CU,Centre,4.45,8337
2002,Flevoland,GL,Left-Wing,6.75,12643
2002,Flevoland,SGP,Right-Wing,2.25,4219
2002,Flevoland,PvdD,Left-Wing,NA,NA
2002,Flevoland,50PLUS,Centre,NA,NA
2003,Flevoland,VVD,Centre-Right,21.3,40749
2003,Flevoland,PvdA,Centre-Left,25.55,48882
2003,Flevoland,PVV,Right-Wing,NA,NA
2003,Flevoland,SP,Left-Wing,5.37,10279
2003,Flevoland,CDA,Centre,24.7,47260
2003,Flevoland,D66,Centre,4.11,7859
2003,Flevoland,CU,Centre,3.6,6894
2003,Flevoland,GL,Left-Wing,4.81,9198
2003,Flevoland,SGP,Right-Wing,2.12,4057
2003,Flevoland,PvdD,Left-Wing,0.54,1038
2003,Flevoland,50PLUS,Centre,NA,NA
2006,Flevoland,VVD,Centre-Right,16.81,34541
2006,Flevoland,PvdA,Centre-Left,20.83,42791
2006,Flevoland,PVV,Right-Wing,6.75,13866
2006,Flevoland,SP,Left-Wing,15.11,31046
2006,Flevoland,CDA,Centre,23.76,48811
2006,Flevoland,D66,Centre,1.55,3188
2006,Flevoland,CU,Centre,5.91,12133
2006,Flevoland,GL,Left-Wing,3.72,7649
2006,Flevoland,SGP,Right-Wing,2.12,4356
2006,Flevoland,PvdD,Left-Wing,2.1,4304
2006,Flevoland,50PLUS,Centre,NA,NA
2010,Flevoland,VVD,Centre-Right,24.46,49468
2010,Flevoland,PvdA,Centre-Left,18.97,38358
2010,Flevoland,PVV,Right-Wing,16.23,32825
2010,Flevoland,SP,Left-Wing,8.55,17295
2010,Flevoland,CDA,Centre,10.6,21433
2010,Flevoland,D66,Centre,5.46,11039
2010,Flevoland,CU,Centre,4.89,9884
2010,Flevoland,GL,Left-Wing,5.61,11345
2010,Flevoland,SGP,Right-Wing,2.47,4993
2010,Flevoland,PvdD,Left-Wing,1.36,2747
2010,Flevoland,50PLUS,Centre,NA,NA
2012,Flevoland,VVD,Centre-Right,28.67,58525
2012,Flevoland,PvdA,Centre-Left,23.28,47514
2012,Flevoland,PVV,Right-Wing,12.41,25319
2012,Flevoland,SP,Left-Wing,8.28,16896
2012,Flevoland,CDA,Centre,6.43,13132
2012,Flevoland,D66,Centre,5.79,11825
2012,Flevoland,CU,Centre,4.65,9484
2012,Flevoland,GL,Left-Wing,1.67,3408
2012,Flevoland,SGP,Right-Wing,3.55,7246
2012,Flevoland,PvdD,Left-Wing,1.98,4034
2012,Flevoland,50PLUS,Centre,2.12,4323
1994,Utrecht,VVD,Centre-Right,23.23,147063
1994,Utrecht,PvdA,Centre-Left,19.15,121184
1994,Utrecht,PVV,Right-Wing,NA,NA
1994,Utrecht,SP,Left-Wing,0.9,5703
1994,Utrecht,CDA,Centre,20.57,130232
